,node,y,x,osmid,highway,ref
40453,38415782,51.0877402,-0.7104101,38415782,,
40454,39811875,51.014692,-0.1428475,39811875,mini_roundabout,
40455,43403631,51.4272996,-0.1523423,43403631,,
40456,43414138,51.4271818,-0.1526278,43414138,,
40457,43500690,51.427653,-0.1521743,43500690,,
40458,43668276,51.2471214,-0.5264916,43668276,,
40459,48701434,51.3616232,-0.6913656,48701434,mini_roundabout,
40460,48702119,51.3632528,-0.6912003,48702119,,
40461,52248323,51.3478023,-0.1476862,52248323,mini_roundabout,
40462,54647274,51.4144144,-0.1786936,54647274,,
40463,55416488,51.411868,-0.1925718,55416488,,
40464,55418111,51.4124699,-0.1924248,55418111,,
40465,55418921,51.4126732,-0.1926193,55418921,,
40466,56688554,51.3681742,-0.195126,56688554,,
40467,56689278,51.3682182,-0.1955917,56689278,,
40468,56689750,51.3684074,-0.1951855,56689750,,
40469,56691811,51.3837112,-0.1902375,56691811,,
40470,59366254,51.3750297,-0.4800776,59366254,,
40471,59366273,51.3717314,-0.4877823,59366273,,
40472,59504825,51.1321439,-0.1506273,59504825,,
40473,59504861,51.1201927,-0.1883099,59504861,,
40474,59504863,51.1247741,-0.1874153,59504863,,
40475,59640906,51.3006874,-0.6668987,59640906,,
40476,59641141,51.3365322,-0.6996323,59641141,crossing,
40477,59960497,51.2523908,-0.6024286,59960497,,
40478,60276911,51.3034573,-0.6475289,60276911,,
40479,60294056,51.1076242,-0.5149862,60294056,,
40480,60294059,51.1080996,-0.5152626,60294059,,
40481,60308311,51.4057083,-0.7246242,60308311,,
40482,60308320,51.4085625,-0.7229451,60308320,,
40483,61077395,51.2983971,-0.3165952,61077395,,
40484,61079277,51.083347,-0.7412054,61079277,,
40485,71267741,51.4529578,-0.1044464,71267741,,
40486,71267743,51.4538474,-0.1035881,71267743,,
40487,72572454,51.3233481,-0.6345347,72572454,,
40488,74072069,51.0296129,-0.2710293,74072069,,
40489,78326968,51.3715752,-0.0968659,78326968,,
40490,81558657,51.1866264,-0.6070241,81558657,,
40491,81718493,51.3347249,-0.7199017,81718493,,
40492,81718497,51.3356696,-0.7197586,81718497,,
40493,81718501,51.3348009,-0.7204677,81718501,,
40494,82631027,51.3659865,-0.0897035,82631027,mini_roundabout,
40495,84884041,51.3705949,-0.1005245,84884041,,
40496,85813936,51.4498571,-0.0563729,85813936,,
40497,89095836,51.3688989,-0.1033345,89095836,,
40498,89481439,51.3626254,-0.0968033,89481439,,
40499,89481798,51.3637835,-0.0985158,89481798,traffic_signals,
40500,89481914,51.363801,-0.0982003,89481914,,
40501,89482984,51.3622618,-0.0981934,89482984,traffic_signals,
40502,90336544,51.2570022,-0.0659535,90336544,crossing,
40503,90342356,51.268139,-0.1323257,90342356,,
40504,90710995,51.051151,-0.2028225,90710995,,
40505,94179517,51.2821481,-0.0771482,94179517,,
40506,94180058,51.2822764,-0.0772862,94180058,,
40507,94181236,51.2821578,-0.0773712,94181236,,
40508,95092018,51.3451555,-0.1048556,95092018,,
40509,95092019,51.3453983,-0.1043776,95092019,,
40510,95092034,51.3448634,-0.1048012,95092034,,
40511,95092372,51.3448387,-0.1053811,95092372,,
40512,95092789,51.3452915,-0.1040709,95092789,,
40513,96733875,51.3363132,-0.0769938,96733875,,
40514,97918588,51.382938,-0.0984639,97918588,,
40515,97918597,51.3826958,-0.0982805,97918597,,
40516,97918602,51.3825961,-0.0977525,97918602,,
40517,97920764,51.3835058,-0.0981892,97920764,,
40518,97920776,51.3819301,-0.0986954,97920776,,
40519,97920780,51.3821278,-0.0989111,97920780,,
40520,97920782,51.3825576,-0.0986098,97920782,,
40521,97920789,51.3830014,-0.0996828,97920789,,
40522,97920793,51.3831826,-0.0998235,97920793,,
40523,97920801,51.3837084,-0.0984454,97920801,,
40524,97921372,51.3838379,-0.098069,97921372,,
40525,97921847,51.3830882,-0.1002107,97921847,,
40526,97923469,51.3827957,-0.0987716,97923469,,
40527,97928399,51.3823959,-0.0976415,97928399,,
40528,99547568,51.315572,-0.5987079,99547568,,
40529,102989153,51.3265079,-0.1304186,102989153,,
40530,102989200,51.3078433,-0.1218562,102989200,,
40531,104060778,51.3200426,-0.1407043,104060778,,
40532,104062814,51.3312518,-0.1382897,104062814,,
40533,104064663,51.3268709,-0.1297635,104064663,,
40534,105528111,51.3648469,-0.0989691,105528111,traffic_signals,
40535,107204935,51.3805849,-0.0858153,107204935,crossing,
40536,107774052,51.3198661,-0.4443564,107774052,motorway_junction,10
40537,107776965,51.3235716,-0.4554486,107776965,motorway_junction,10
40538,112008740,51.4527554,-0.1037944,112008740,,
40539,112008743,51.4533796,-0.1032218,112008743,,
40540,115674273,51.3602705,-0.1307439,115674273,,
40541,119593573,51.4336504,-0.1036746,119593573,,
40542,124247646,51.4006853,-0.0999227,124247646,,
40543,124247826,51.3988496,-0.098561,124247826,,
40544,124250636,51.4017636,-0.1970509,124250636,,
40545,124256127,51.3943511,-0.2534228,124256127,,
40546,124275058,51.4228452,-0.1595334,124275058,,
40547,128263620,51.3534533,-0.0978381,128263620,,
40548,129520609,51.1143491,-0.1715685,129520609,,
40549,129520610,51.1140772,-0.1720334,129520610,,
40550,129520632,51.1060688,-0.1829492,129520632,,
40551,129942214,51.117961,-0.1630502,129942214,,
40552,129943862,51.1188546,-0.1889575,129943862,,
40553,129943866,51.119113,-0.1888779,129943866,,
40554,129943868,51.1190279,-0.1886961,129943868,,
40555,129943870,51.1188951,-0.1887246,129943870,,
40556,129943883,51.1198154,-0.1884761,129943883,,
40557,129944356,51.1141583,-0.1701982,129944356,,
40558,129944364,51.1143505,-0.1704826,129944364,,
40559,129944503,51.1143204,-0.1726419,129944503,,
40560,130023750,51.0694848,-0.2037275,130023750,,
40561,130152241,51.1123768,-0.1827646,130152241,,
40562,130152252,51.114177,-0.1808091,130152252,,
40563,130152257,51.1142632,-0.1812597,130152257,,
40564,130152262,51.1141441,-0.1812032,130152262,,
40565,130176789,51.1261789,-0.1698794,130176789,,
40566,130177280,51.119801,-0.1882593,130177280,,
40567,130233910,51.4015976,-0.16837,130233910,,
40568,130233914,51.4026823,-0.166758,130233914,,
40569,130235040,51.4015649,-0.167983,130235040,,
40570,132001403,51.3803779,-0.0862416,132001403,,
40571,135300800,51.1317536,-0.1533156,135300800,,
40572,135301014,51.1337572,-0.1470137,135301014,traffic_signals,
40573,135302779,51.1321895,-0.1473158,135302779,,
40574,135370858,51.1245141,-0.1889287,135370858,,
40575,135370869,51.1240304,-0.1878956,135370869,,
40576,135713252,51.4173215,-0.0817321,135713252,,
40577,136774594,51.1029696,-0.145103,136774594,,
40578,136788873,51.1168575,-0.1827364,136788873,,
40579,136810548,51.1164446,-0.1829023,136810548,,
40580,136812457,51.116844,-0.1821632,136812457,traffic_signals,
40581,139717253,51.3853821,-0.2954149,139717253,,
40582,139717254,51.3851514,-0.2949895,139717254,,
40583,139717548,51.3850247,-0.294629,139717548,,
40584,139718292,51.3855822,-0.2957412,139718292,,
40585,140303037,51.0677969,-0.3148655,140303037,,
40586,140541280,51.0677384,-0.3157409,140541280,,
40587,140548392,51.3122126,-0.3272327,140548392,,
40588,140566356,51.2923883,-0.22254,140566356,traffic_signals,
40589,140575808,51.1165902,-0.1826098,140575808,,
40590,140581099,51.2855555,-0.2288342,140581099,,
40591,140581471,51.1257316,-0.1698961,140581471,,
40592,140581525,51.1259438,-0.1693644,140581525,,
40593,140583236,51.2676371,-0.2522251,140583236,,
40594,140583240,51.2677871,-0.2520552,140583240,,
40595,140585337,51.263585,-0.2616695,140585337,,
40596,140587323,51.1130959,-0.1833503,140587323,traffic_signals,
40597,140587328,51.1130358,-0.1843347,140587328,,
40598,140588113,51.1128655,-0.1843447,140588113,,
40599,140588441,51.1129276,-0.1842167,140588441,,
40600,140588925,51.2637175,-0.2623141,140588925,,
40601,140592699,51.1147358,-0.1923931,140592699,,
40602,140592706,51.1147107,-0.1934231,140592706,,
40603,140592714,51.1150901,-0.1948392,140592714,,
40604,140592716,51.1149701,-0.1952831,140592716,,
40605,146311751,51.2824104,-0.3281959,146311751,,
40606,148897002,51.1128455,-0.1892574,148897002,,
40607,149264700,51.4000755,-0.092678,149264700,,
40608,150895036,51.3780544,-0.1090874,150895036,,
40609,150895586,51.3690745,-0.1042444,150895586,,
40610,151000288,51.4352519,-0.5365452,151000288,,
40611,151211704,51.1129326,-0.1844804,151211704,,
40612,155102468,51.0593289,-0.3187048,155102468,,
40613,155137546,51.0643981,-0.3310832,155137546,,
40614,155137633,51.063763,-0.3268469,155137633,,
40615,155137678,51.0638888,-0.3267527,155137678,,
40616,155137703,51.0628362,-0.3252198,155137703,,
40617,155211026,51.0638723,-0.3271188,155211026,,
40618,155377678,51.1177971,-0.163026,155377678,,
40619,155379116,51.1157747,-0.1651841,155379116,,
40620,155407965,51.0533947,-0.2007329,155407965,,
40621,155408414,51.0533034,-0.2004846,155408414,,
40622,166650428,51.1143502,-0.1698529,166650428,,
40623,168149034,51.4142424,-0.2027838,168149034,,
40624,170607290,51.2700239,-0.1373812,170607290,,
40625,187008737,51.1128162,-0.1903321,187008737,,
40626,191842422,51.2593918,-0.1973256,191842422,,
40627,191950943,51.309693,-0.2419351,191950943,,
40628,191950946,51.3098779,-0.2421359,191950946,,
40629,191950949,51.3101369,-0.2426375,191950949,,
40630,191951558,51.3099923,-0.2419106,191951558,,
40631,191951559,51.3097946,-0.2417152,191951559,,
40632,191951561,51.3096513,-0.2413726,191951561,,
40633,206223889,51.268476,-0.166283,206223889,motorway_junction,8
40634,206224677,51.2582493,-0.2023506,206224677,motorway_junction,8
40635,206226603,51.3007683,-0.3181347,206226603,motorway_junction,9
40636,206226666,51.3068185,-0.3229892,206226666,,
40637,206228164,51.3059901,-0.4025951,206228164,,
40638,206310864,51.4186852,-0.4193624,206310864,,
40639,206348019,51.3672374,-0.13208,206348019,,
40640,206348054,51.3672106,-0.1322431,206348054,,
40641,206348312,51.3068969,-0.1194801,206348312,,
40642,206975287,51.4411971,-0.5315801,206975287,,
40643,207254109,51.1024761,-0.1444038,207254109,,
40644,207254121,51.1069066,-0.1453125,207254121,,
40645,208174258,51.2397048,-0.5644357,208174258,traffic_signals,
40646,213427969,51.2532074,-0.4809079,213427969,,
40647,213947495,51.1131144,-0.1828739,213947495,,
40648,213947500,51.1140278,-0.1829253,213947500,,
40649,216515539,51.1458408,-0.1666346,216515539,,
40650,218543124,51.1694147,-0.1825628,218543124,,
40651,218544327,51.1694314,-0.1829782,218544327,,
40652,218545061,51.1690613,-0.1876228,218545061,,
40653,223162378,51.433391,-0.5209805,223162378,,
40654,223162645,51.4333337,-0.5206955,223162645,,
40655,239996518,51.4150984,-0.2515243,239996518,,
40656,240000658,51.4160991,-0.252078,240000658,,
40657,240001218,51.4156234,-0.25231,240001218,,
40658,240003816,51.4158832,-0.2523776,240003816,,
40659,240748963,51.3997464,-0.2434718,240748963,,
40660,240767642,51.4159598,-0.2526101,240767642,,
40661,240958446,51.3268472,-0.1939045,240958446,,
40662,241495281,51.3819981,-0.2841464,241495281,,
40663,241607860,51.2867352,-0.2368036,241607860,,
40664,242538445,51.4458905,-0.4004441,242538445,,
40665,242601522,51.409495,-0.2268181,242601522,,
40666,243235409,51.4131565,-0.1420497,243235409,,
40667,244189887,51.3857401,-0.1217091,244189887,,
40668,244420742,51.0860926,-0.196105,244420742,,
40669,244495360,51.3450101,-0.6408515,244495360,,
40670,246880641,51.3605026,-0.1303866,246880641,,
40671,247889106,51.4330974,-0.3924916,247889106,,
40672,248155376,51.3984667,-0.2557309,248155376,,
40673,248555064,51.4036532,-0.2402348,248555064,,
40674,248838457,51.4406706,-0.3643415,248838457,,
40675,249193053,51.4510255,-0.3315698,249193053,,
40676,249310440,51.074701,-0.2933338,249310440,,
40677,249340382,51.4549731,-0.319467,249340382,,
40678,250732793,51.2479744,-0.5717202,250732793,,
40679,250761874,51.3058098,-0.402485,250761874,services,
40680,250814562,51.4652337,-0.5880552,250814562,,
40681,250814702,51.4647679,-0.5877497,250814702,,
40682,250814801,51.4647606,-0.5870394,250814801,,
40683,250814869,51.465073,-0.586545,250814869,,
40684,250814894,51.4662223,-0.587207,250814894,,
40685,250815429,51.4518112,-0.5753262,250815429,,
40686,250815435,51.450294,-0.5726213,250815435,,
40687,251140817,51.2606846,-0.5452635,251140817,,
40688,251233248,51.4319371,-0.457317,251233248,,
40689,251576356,51.2887614,-0.233978,251576356,traffic_signals,
40690,251659007,51.3722703,-0.0870484,251659007,,
40691,251815627,51.3483701,-0.1480964,251815627,,
40692,251815669,51.3561041,-0.1556185,251815669,,
40693,251815670,51.3560819,-0.155422,251815670,,
40694,251815674,51.3559951,-0.1554475,251815674,,
40695,251815691,51.356335,-0.1556143,251815691,,
40696,251815692,51.3561198,-0.1554846,251815692,,
40697,251912344,51.3124081,-0.2135618,251912344,traffic_signals,
40698,252129338,51.2491925,-0.5874755,252129338,,
40699,252186942,51.3560965,-0.1550418,252186942,,
40700,252278387,51.1018274,-0.1444556,252278387,,
40701,253017418,51.4101456,-0.3006403,253017418,,
40702,253364554,51.3846458,-0.4227402,253364554,,
40703,254021857,51.4051441,-0.5983954,254021857,,
40704,255034178,51.1680346,-0.1554229,255034178,,
40705,255034181,51.1678851,-0.1553422,255034181,,
40706,255034374,51.159445,-0.136455,255034374,,
40707,255125495,51.1801061,-0.1629194,255125495,,
40708,255125497,51.1806794,-0.1642249,255125497,,
40709,255125515,51.1811909,-0.1637799,255125515,,
40710,255125518,51.1811971,-0.1634905,255125518,,
40711,255864507,51.2530855,-0.4837726,255864507,,
40712,255864518,51.2530161,-0.4851205,255864518,,
40713,256908390,51.2474799,-0.5202841,256908390,,
40714,258873234,51.1872824,-0.6083453,258873234,,
40715,258885626,51.4015561,-0.1972448,258885626,,
40716,258885627,51.4017767,-0.1975391,258885627,,
40717,259150882,51.0630362,-0.3247811,259150882,,
40718,259717011,51.1782474,-0.1271317,259717011,,
40719,259717013,51.1773254,-0.1274364,259717013,,
40720,259717017,51.1783857,-0.1270606,259717017,,
40721,259834106,51.0193639,-0.1698977,259834106,,
40722,260119788,51.1497434,-0.3312448,260119788,,
40723,260558913,51.2575316,-0.1974808,260558913,,
40724,260562046,51.0184952,-0.1928838,260562046,,
40725,260562162,51.0380059,-0.244869,260562162,,
40726,260571862,51.3116564,-0.6130788,260571862,,
40727,261060313,51.0967948,-0.1937236,261060313,,
40728,261076717,51.1089681,-0.1823219,261076717,,
40729,261953095,51.0186216,-0.1940653,261953095,,
40730,263149385,51.2637988,-0.6172748,263149385,,
40731,265729730,51.1670956,-0.6588922,265729730,,
40732,265931555,51.3602371,-0.6857243,265931555,,
40733,265931558,51.3601931,-0.6856516,265931558,,
40734,265931568,51.3601768,-0.6859035,265931568,,
40735,266902545,51.3879962,-0.215018,266902545,,
40736,266902546,51.3887815,-0.2170798,266902546,,
40737,267469783,51.1730186,-0.3182711,267469783,,
40738,267729678,51.2956113,-0.5740427,267729678,,
40739,268368462,51.4330928,-0.1037744,268368462,,
40740,268368465,51.4331084,-0.1034785,268368465,,
40741,268397295,51.0667735,-0.3483166,268397295,,
40742,268397313,51.0666517,-0.348058,268397313,,
40743,268425611,51.4315306,-0.5109393,268425611,,
40744,270084562,51.3478477,-0.7142594,270084562,,
40745,270693391,51.136875,-0.0931563,270693391,,
40746,270693392,51.136091,-0.0928936,270693392,,
40747,270693393,51.1361945,-0.0932161,270693393,,
40748,271396268,51.0614564,-0.3345403,271396268,,
40749,271396270,51.0613585,-0.334839,271396270,,
40750,276830826,51.4262362,-0.0707855,276830826,,
40751,276830855,51.4262144,-0.0739313,276830855,mini_roundabout,
40752,276830875,51.4259097,-0.0747851,276830875,,
40753,276830879,51.4241714,-0.0759803,276830879,,
40754,278959671,51.310211,-0.7343513,278959671,,
40755,278959688,51.3103855,-0.7342861,278959688,,
40756,278971313,51.3019158,-0.7273361,278971313,mini_roundabout,
40757,278971320,51.3018352,-0.7269561,278971320,,
40758,278971401,51.3036432,-0.7084525,278971401,,
40759,281226000,51.0874338,-0.7093814,281226000,,
40760,281329994,51.3174923,-0.1386303,281329994,,
40761,281330025,51.3172466,-0.1386887,281330025,,
40762,281330171,51.3118749,-0.1430427,281330171,,
40763,282211728,51.3125782,-0.701147,282211728,,
40764,282211743,51.3141261,-0.7001598,282211743,,
40765,287104579,51.4135615,-0.3027198,287104579,,
40766,287461260,51.4297859,-0.1014018,287461260,,
40767,287534277,51.4143156,-0.3010607,287534277,,
40768,289460517,51.2139307,-0.5679284,289460517,,
40769,290764078,51.4205744,-0.4294495,290764078,,
40770,292171021,51.4448169,-0.3397114,292171021,,
40771,292296537,51.3644392,-0.1182259,292296537,,
40772,292345078,51.0784954,-0.7253675,292345078,,
40773,292345084,51.087575,-0.7098313,292345084,,
